task_id,model,dataset,q,loss_fraction,replicate,thinning_seed,model_p3_genes,dataset_available_genes,potential_evaluated_genes,evaluated_genes,input_cells,evaluated_cells,dropped_cells,evaluated_cell_fraction,native_returned_genes,evaluated_gene_order_sha256,evaluated_source_row_order_sha256,task_summary_sha256,model_full_available_mae,model_full_available_mse,model_gene_spearman,model_masked_mae,model_masked_mse,model_n_gene_spearman_valid,model_n_masked,model_n_sample_spearman_valid,model_prediction_sd,model_recovery_index,model_sample_spearman,model_sd_ratio,model_sd_ratio_abs_error,model_target_sd,model_true_zero_mae,model_true_zero_mse,model_true_zero_positive_fraction,baseline_full_available_mae,baseline_full_available_mse,baseline_gene_spearman,baseline_masked_mae,baseline_masked_mse,baseline_n_gene_spearman_valid,baseline_n_masked,baseline_n_sample_spearman_valid,baseline_prediction_sd,baseline_recovery_index,baseline_sample_spearman,baseline_sd_ratio,baseline_sd_ratio_abs_error,baseline_target_sd,baseline_true_zero_mae,baseline_true_zero_mse,baseline_true_zero_positive_fraction,full_mse_gain_vs_corrupted,masked_mae_gain_vs_corrupted,masked_mse_gain_vs_corrupted,recovery_gain_vs_corrupted
2,scprint1,internal_test,0.5,0.5,1,2026092121,14526,16384,14526,14526,5000,4946,54,0.9892,44733,406c51aa9c705335367fc777b74ad68403c7962a3fad240c1f3d99b2c63e9dcb,85a5fd01cc0748f4f246c6c2b870c442379315bbd699f4521f6c04012f09c3fd,b79b61d65d86522cd30bab56f5e2f2f8d8f6ef6a74717b7d2b00bed66dd88ec9,0.3052707612514496,0.17359215021133423,0.27844982411423863,0.5405443906784058,0.46028751134872437,14211,3292673,4946,0.3430771231651306,-0.854499337568662,0.290371099491156,0.6886372406840743,0.3113627593159257,0.49819716811180115,0.2893725633621216,0.1549193412065506,1.0,0.08011524379253387,0.08418527990579605,,1.1368449926376343,1.5406163930892944,0,3292673,0,0.0,-5.207146642019002,,0.0,1.0,0.49819716811180115,0.0,0.0,0.0,-0.08940687030553818,0.5963006019592285,1.08032888174057,4.35264730445034
2,scprint1,internal_test,0.5,0.5,2,2026092122,14526,16384,14526,14526,5000,4947,53,0.9894,44733,406c51aa9c705335367fc777b74ad68403c7962a3fad240c1f3d99b2c63e9dcb,c956326248fb206c8ab13d1512b917e8d6cd8f342bf49c8a05d5c693f895cb55,b79b61d65d86522cd30bab56f5e2f2f8d8f6ef6a74717b7d2b00bed66dd88ec9,0.30525651574134827,0.17359483242034912,0.2767594073877045,0.5408669710159302,0.4608634114265442,14221,3291943,4947,0.34301477670669556,-0.8574989425805708,0.2902082755011145,0.6886380283056991,0.3113619716943009,0.49810606241226196,0.2893654406070709,0.1549210250377655,1.0,0.08010826259851456,0.08418943732976913,,1.137191891670227,1.5413140058517456,0,3291943,0,0.0,-5.212229187802568,,0.0,1.0,0.49810606241226196,0.0,0.0,0.0,-0.08940539509057999,0.5963249206542969,1.0804505944252014,4.354730245221997
2,scprint1,internal_test,0.5,0.5,3,2026092123,14526,16384,14526,14526,5000,4953,47,0.9906,44733,406c51aa9c705335367fc777b74ad68403c7962a3fad240c1f3d99b2c63e9dcb,0ac316ab102bf90e6213e46f8cc28b0de340201ac998152eb93655cb86947984,b79b61d65d86522cd30bab56f5e2f2f8d8f6ef6a74717b7d2b00bed66dd88ec9,0.30539369583129883,0.17377543449401855,0.27900830597669646,0.5407247543334961,0.46082180738449097,14192,3294429,4953,0.3433462381362915,-0.8519130563984483,0.29058306774593795,0.6882973202809543,0.31170267971904575,0.49883419275283813,0.28951382637023926,0.15509425103664398,1.0,0.08006689697504044,0.08420094102621078,,1.1373441219329834,1.5423862934112549,0,3294429,0,0.0,-5.198416110101916,,0.0,1.0,0.49883419275283813,0.0,0.0,0.0,-0.08957449346780777,0.5966193675994873,1.081564486026764,4.346503053703468
2,scprint1,internal_test,0.5,0.5,4,2026092124,14526,16384,14526,14526,5000,4949,51,0.9898,44733,406c51aa9c705335367fc777b74ad68403c7962a3fad240c1f3d99b2c63e9dcb,8723e78a0e2b987a065c41a0283e9da2d28982a59f3a2b38334818cbb13e867a,b79b61d65d86522cd30bab56f5e2f2f8d8f6ef6a74717b7d2b00bed66dd88ec9,0.30534374713897705,0.17372073233127594,0.27740241885903216,0.5408440828323364,0.46081793308258057,14208,3289950,4949,0.34332066774368286,-0.8547810213588869,0.29059241910959893,0.6887816753305006,0.3112183246694994,0.4984462857246399,0.2894565463066101,0.15504547953605652,1.0,0.08007033169269562,0.08414430171251297,,1.1372135877609253,1.541704535484314,0,3289950,0,0.0,-5.2053234209676145,,0.0,1.0,0.4984462857246399,0.0,0.0,0.0,-0.08957643061876297,0.5963695049285889,1.0808866024017334,4.350542399608727
2,scprint1,internal_test,0.5,0.5,5,2026092125,14526,16384,14526,14526,5000,4948,52,0.9896,44733,406c51aa9c705335367fc777b74ad68403c7962a3fad240c1f3d99b2c63e9dcb,3a4babdb2fc1c276c4db1ccc4064828b4f7a4f414ba8286d5999f7fcc93d4a2d,b79b61d65d86522cd30bab56f5e2f2f8d8f6ef6a74717b7d2b00bed66dd88ec9,0.30528751015663147,0.17362669110298157,0.27917082073712135,0.5404995679855347,0.46023455262184143,14201,3292369,4948,0.3431435525417328,-0.853224657915524,0.2903796106594743,0.6885734415476498,0.31142655845235023,0.49833980202674866,0.2893943786621094,0.15495535731315613,1.0,0.08008496463298798,0.08415595442056656,,1.136827826499939,1.5407201051712036,0,3292369,0,0.0,-5.204011571020775,,0.0,1.0,0.49833980202674866,0.0,0.0,0.0,-0.08947073668241501,0.5963282585144043,1.0804855525493622,4.350786913105251
3,scprint1,baron_pancreas,0.85,0.15000000000000002,1,2026092201,14526,13762,13596,13596,5000,5000,0,1.0,44733,aaae2a02b7e47fbbe607c93e86f82e60bb16c5f6c6f1fa28c7737faf70453e3d,a3d44437f284b46e5d827df6101e63efe16f752040ad67db809c061bc367bde5,6a5e42dc4a6f90def1cd8ca46dc1c4431f55704e9184314cea4a3bcdc21fb6f6,0.3554348647594452,0.19420172274112701,0.25138040946588414,0.6600708961486816,0.5693295001983643,12196,840200,4971,0.3186452090740204,-3.497988761631377,0.10458491058372227,0.8956425799430244,0.10435742005697557,0.3557727336883545,0.3303324580192566,0.17294558882713318,1.0,0.031071336939930916,0.023001834750175476,,1.2171674966812134,1.6080713272094727,0,840200,0,0.0,-11.70457047310868,,0.0,1.0,0.3557727336883545,0.0,0.0,0.0,-0.17119988799095154,0.5570966005325317,1.0387418270111084,8.206581711477302
3,scprint1,baron_pancreas,0.85,0.15000000000000002,2,2026092202,14526,13762,13596,13596,5000,5000,0,1.0,44733,aaae2a02b7e47fbbe607c93e86f82e60bb16c5f6c6f1fa28c7737faf70453e3d,a3d44437f284b46e5d827df6101e63efe16f752040ad67db809c061bc367bde5,6a5e42dc4a6f90def1cd8ca46dc1c4431f55704e9184314cea4a3bcdc21fb6f6,0.3554568588733673,0.19421380758285522,0.25113162651684073,0.6610348224639893,0.570673406124115,12157,840092,4972,0.318591833114624,-3.5005220664661865,0.10506646636581352,0.8946893530878307,0.10531064691216929,0.3560921251773834,0.33034205436706543,0.1729416698217392,1.0,0.03105892241001129,0.02300923876464367,,1.217603325843811,1.609359622001648,0,840092,0,0.0,-11.691950271330564,,0.0,1.0,0.3560921251773834,0.0,0.0,0.0,-0.17120456881821156,0.5565685033798218,1.038686215877533,8.191428204864376
3,scprint1,baron_pancreas,0.85,0.15000000000000002,3,2026092203,14526,13762,13596,13596,5000,5000,0,1.0,44733,aaae2a02b7e47fbbe607c93e86f82e60bb16c5f6c6f1fa28c7737faf70453e3d,a3d44437f284b46e5d827df6101e63efe16f752040ad67db809c061bc367bde5,6a5e42dc4a6f90def1cd8ca46dc1c4431f55704e9184314cea4a3bcdc21fb6f6,0.3554549515247345,0.19420674443244934,0.25085654879176245,0.6597712635993958,0.5687974691390991,12204,841505,4961,0.3183566927909851,-3.4993445208688794,0.10265305211540171,0.8953849313202644,0.10461506867973558,0.35555288195610046,0.3303488492965698,0.1729491502046585,1.0,0.0310869999229908,0.02300962433218956,,1.2164701223373413,1.6062171459197998,0,841505,0,0.0,-11.705619674711599,,0.0,1.0,0.35555288195610046,0.0,0.0,0.0,-0.17119712010025978,0.5566988587379456,1.0374196767807007,8.20627515384272
3,scprint1,baron_pancreas,0.85,0.15000000000000002,4,2026092204,14526,13762,13596,13596,5000,5000,0,1.0,44733,aaae2a02b7e47fbbe607c93e86f82e60bb16c5f6c6f1fa28c7737faf70453e3d,a3d44437f284b46e5d827df6101e63efe16f752040ad67db809c061bc367bde5,6a5e42dc4a6f90def1cd8ca46dc1c4431f55704e9184314cea4a3bcdc21fb6f6,0.35543084144592285,0.19417650997638702,0.2511054487072114,0.6603217124938965,0.5694663524627686,12179,840623,4963,0.31923341751098633,-3.495670947925375,0.10489592950519148,0.89695689192602,0.10304310807397998,0.3559072017669678,0.3303312063217163,0.17292732000350952,1.0,0.031065845862030983,0.02301267348229885,,1.2174328565597534,1.6088122129440308,0,840623,0,0.0,-11.700821207646122,,0.0,1.0,0.3559072017669678,0.0,0.0,0.0,-0.17116383649408817,0.5571111440658569,1.0393458604812622,8.205150259720746
3,scprint1,baron_pancreas,0.85,0.15000000000000002,5,2026092205,14526,13762,13596,13596,5000,5000,0,1.0,44733,aaae2a02b7e47fbbe607c93e86f82e60bb16c5f6c6f1fa28c7737faf70453e3d,a3d44437f284b46e5d827df6101e63efe16f752040ad67db809c061bc367bde5,6a5e42dc4a6f90def1cd8ca46dc1c4431f55704e9184314cea4a3bcdc21fb6f6,0.3554098606109619,0.194191113114357,0.24712169905041712,0.660234272480011,0.5697677135467529,12206,840256,4968,0.31874385476112366,-3.493362171885928,0.10493565548245415,0.8951145466725006,0.10488545332749943,0.35609281063079834,0.33030465245246887,0.17293983697891235,1.0,0.031061014160513878,0.022996943444013596,,1.2170549631118774,1.6080243587493896,0,840256,0,0.0,-11.681371115428679,,0.0,1.0,0.35609281063079834,0.0,0.0,0.0,-0.1711941696703434,0.5568206906318665,1.0382566452026367,8.188008943542751
